male_id,DOB,unit,last_emigration,age_emigration,last_emigration_min_date,last_emigration_max_date,notes_emigration,year_emigration,destination,partners,band,difference,month_of_dispersal
CUE,9/30/10,C1,2/6/19,8.35,2/6/19,2/6/19,"Emigration - Adult male; Disperses to bachelor group with Isaac, Gunther and FettyWap",2019,AMG,,small,0,2
DIL,10/29/10,D,6/25/19,8.66,6/18/19,7/1/19,Emigration - JUV/SA male,2019,,,small,13,6
DOP,10/4/11,D,6/25/19,7.73,6/18/19,7/1/19,Emigration - JUV/SA male,2019,,,small,13,6
FLY,12/13/11,N,1/30/19,7.13,1/22/19,2/8/19,Emigration - Adult male; First date is last date censussed with unit. Last date is first date not seen in unit. Sharmi added the dispersal dates. It was missed in previous LH sheets.,2019,,,mid,16,1
ISA,7/9/10,C1,2/6/19,8.58,2/6/19,2/6/19,"Emigration - Adult male; Disperses to bachelor group with Cuervo, Gunther and FettyWap",2019,AMG,,small,0,2
JAC,10/15/11,N,12/13/19,8.16,12/7/18,12/19/18,Emigration - Adult male; First date is last date censussed with unit. Last date is first date not seen in unit. Sharmi added the dispersal dates. It was missed in previous LH sheets.,2019,,,mid,12,12
JAR,5/11/12,J,12/18/19,7.6,12/16/19,12/20/19,Emigration-Joined AMG; Seen with Gunther's AMG. First date is last date censussed with unit. Last date is first date not seen in unit. Later seen with unit in late Jan. But he disappeared within a couple of days.,2019,AMG,,small,4,12
MYC,10/29/12,M1,6/1/19,6.59,5/27/19,6/7/19,,2019,,,mid,10,6
MYT,12/8/14,M1,8/25/19,4.71,7/8/19,10/7/19,,2019,,,mid,89,8
NEP,3/28/12,N,1/30/19,6.84,1/22/19,2/8/19,Emigration - Adult male; First date is last date censussed with unit. Last date is first date not seen in unit. Sharmi added the dispersal dates. It was missed in previous LH sheets.,2019,,,mid,16,1
VLA,6/11/12,V,6/18/19,7.02,6/10/19,7/1/19,,2019,,,small,21,6
